tectonic_band_number,band_type,FWI stage,Stage description,true_top_depth_inside_silicon_micrometers,true_bottom_depth_inside_silicon_micrometers_exclusive,true_center_depth_inside_silicon_micrometers,true_thickness_micrometers,detected_top_depth_inside_silicon_micrometers,detected_bottom_depth_inside_silicon_micrometers_exclusive,detected_center_depth_inside_silicon_micrometers,detected_thickness_micrometers,top_boundary_shift_micrometers,bottom_boundary_shift_micrometers,center_shift_micrometers,thickness_change_micrometers,thickness_change_percent,top_shift_interpretation,bottom_shift_interpretation,center_shift_interpretation,thickness_interpretation,boundary_detection_threshold_fraction,minimum_active_width_fraction,search_margin_cells,expected_sign_profile_max_m_per_s
6,slow band,Stage 1,20 MHz low-frequency FWI reconstruction,150.0,160.0,152.50000000000003,10.0,140.00000000000003,210.0,172.50000000000003,70.00000000000001,-9.999999999999972,50.0,20.0,60.000000000000014,600.0000000000002,Reconstructed boundary is shallower than the true boundary.,Reconstructed boundary is deeper than the true boundary.,Reconstructed boundary is deeper than the true boundary.,Reconstructed band is thicker than the true band.,0.5,0.2,10,66.62376
6,slow band,Stage 2,85 MHz high-frequency FWI reconstruction initialized from Stage 1,150.0,160.0,152.50000000000003,10.0,100.0,210.0,152.50000000000003,110.0,-50.0,50.0,0.0,100.0,1000.0,Reconstructed boundary is shallower than the true boundary.,Reconstructed boundary is deeper than the true boundary.,Reconstructed boundary matches the true boundary.,Reconstructed band is thicker than the true band.,0.5,0.2,10,235.34523
7,fast band,Stage 1,20 MHz low-frequency FWI reconstruction,175.00000000000003,185.00000000000003,177.5,10.0,125.0,235.00000000000003,177.5,110.0,-50.00000000000003,50.0,0.0,100.0,1000.0,Reconstructed boundary is shallower than the true boundary.,Reconstructed boundary is deeper than the true boundary.,Reconstructed boundary matches the true boundary.,Reconstructed band is thicker than the true band.,0.5,0.2,10,54.67317
7,fast band,Stage 2,85 MHz high-frequency FWI reconstruction initialized from Stage 1,175.00000000000003,185.00000000000003,177.5,10.0,125.0,235.00000000000003,177.5,110.0,-50.00000000000003,50.0,0.0,100.0,1000.0,Reconstructed boundary is shallower than the true boundary.,Reconstructed boundary is deeper than the true boundary.,Reconstructed boundary matches the true boundary.,Reconstructed band is thicker than the true band.,0.5,0.2,10,287.4557
8,slow band,Stage 1,20 MHz low-frequency FWI reconstruction,200.0,210.0,202.50000000000003,10.0,150.0,260.00000000000006,202.50000000000003,110.0,-50.0,50.00000000000006,0.0,100.0,1000.0,Reconstructed boundary is shallower than the true boundary.,Reconstructed boundary is deeper than the true boundary.,Reconstructed boundary matches the true boundary.,Reconstructed band is thicker than the true band.,0.5,0.2,10,97.598885
8,slow band,Stage 2,85 MHz high-frequency FWI reconstruction initialized from Stage 1,200.0,210.0,202.50000000000003,10.0,150.0,260.00000000000006,202.50000000000003,110.0,-50.0,50.00000000000006,0.0,100.0,1000.0,Reconstructed boundary is shallower than the true boundary.,Reconstructed boundary is deeper than the true boundary.,Reconstructed boundary matches the true boundary.,Reconstructed band is thicker than the true band.,0.5,0.2,10,288.0298
9,fast band,Stage 1,20 MHz low-frequency FWI reconstruction,225.00000000000003,235.00000000000003,227.50000000000003,10.0,175.00000000000003,240.00000000000003,205.00000000000003,65.00000000000001,-50.0,5.0,-22.5,55.000000000000014,550.0000000000002,Reconstructed boundary is shallower than the true boundary.,Reconstructed boundary is deeper than the true boundary.,Reconstructed boundary is shallower than the true boundary.,Reconstructed band is thicker than the true band.,0.5,0.2,10,54.67317
9,fast band,Stage 2,85 MHz high-frequency FWI reconstruction initialized from Stage 1,225.00000000000003,235.00000000000003,227.50000000000003,10.0,175.00000000000003,240.00000000000003,205.00000000000003,65.00000000000001,-50.0,5.0,-22.5,55.000000000000014,550.0000000000002,Reconstructed boundary is shallower than the true boundary.,Reconstructed boundary is deeper than the true boundary.,Reconstructed boundary is shallower than the true boundary.,Reconstructed band is thicker than the true band.,0.5,0.2,10,287.4557
10,slow band,Stage 1,20 MHz low-frequency FWI reconstruction,250.0,260.00000000000006,252.5,10.0,260.00000000000006,280.00000000000006,267.5,20.0,10.000000000000057,20.0,15.0,10.0,100.0,Reconstructed boundary is deeper than the true boundary.,Reconstructed boundary is deeper than the true boundary.,Reconstructed boundary is deeper than the true boundary.,Reconstructed band is thicker than the true band.,0.5,0.2,10,213.18181
10,slow band,Stage 2,85 MHz high-frequency FWI reconstruction initialized from Stage 1,250.0,260.00000000000006,252.5,10.0,200.0,265.00000000000006,230.0,65.00000000000001,-50.0,5.0,-22.5,55.000000000000014,550.0000000000002,Reconstructed boundary is shallower than the true boundary.,Reconstructed boundary is deeper than the true boundary.,Reconstructed boundary is shallower than the true boundary.,Reconstructed band is thicker than the true band.,0.5,0.2,10,288.0298
