experiment_name,void_speed,si_speed,true_velocity_contrast,max_velocity_update,contrast_to_update_ratio,regularization_weight,vertical_weight,horizontal_weight,loss_name,learning_rate_stage1,learning_rate_stage2,stage1_initial_validation_loss,stage1_final_validation_loss,stage2_initial_validation_loss,stage2_final_validation_loss,stage2_min_update,stage2_max_update,stage2_mean_abs_update,inside_void_mean_update,outside_void_mean_update,inside_void_min_update,outside_void_min_update,void_contrast_score
void_speed_4000_maxupdate_3500,2200.0,8433.0,-6233.0,2500.0,2.4932,0.0001,3.0,1.0,trace_normalized_mse,0.01,0.005,0.0399678722023963,0.0204044096171855,0.0467716269195079,0.0367630273103714,-1530.02783203125,1436.90625,123.50884246826172,,,,,
void_speed_4000_maxupdate_3500,4000.0,8433.0,-4433.0,2500.0,1.7732,0.0001,3.0,1.0,trace_normalized_mse,0.01,0.005,0.0494400896131992,0.027160670608282,0.0465266406536102,0.0359298065304756,-1542.89599609375,1257.984375,122.36237335205078,,,,,
void_speed_4000_maxupdate_3500,4000.0,8433.0,-4433.0,2500.0,1.7732,0.0001,3.0,1.0,trace_normalized_mse,0.01,0.005,0.0494232550263404,0.0271510276943445,0.0465114973485469,0.035917080938816,-1542.9228515625,1258.044921875,122.35499572753906,,,,,
void_speed_4000_maxupdate_3500,4000.0,8433.0,-4433.0,2500.0,1.7732,0.0001,3.0,1.0,trace_normalized_mse,0.01,0.005,0.0494232550263404,0.0271510276943445,0.0465114973485469,0.035917080938816,-1542.9228515625,1258.044921875,122.35499572753906,,,,,
void_speed_4000_maxupdate_3500,4000.0,8433.0,-4433.0,2500.0,1.7732,0.0001,3.0,1.0,trace_normalized_mse,0.01,0.005,0.0494232550263404,0.0271510276943445,0.0465114973485469,0.035917080938816,-1542.9228515625,1258.044921875,122.35499572753906,,,,,
void_speed_4000_maxupdate_3500,4000.0,8433.0,-4433.0,2500.0,1.7732,0.0001,3.0,1.0,trace_normalized_mse,0.01,0.005,0.0494232550263404,0.0271510276943445,0.0465114973485469,0.035917080938816,-1542.9228515625,1258.044921875,122.35499572753906,-1213.348,-280.76822,-1494.1836,-1542.9229,932.57983
void_speed_4000_maxupdate_3500,4000.0,8433.0,-4433.0,2500.0,1.7732,0.0001,8.0,1.0,trace_normalized_mse,0.01,0.005,0.04619657248258591,0.028031587600708008,0.026729192584753036,0.022054780274629593,-2077.806640625,1735.5712890625,161.33026123046875,-1213.3480224609375,-280.7682189941406,-1494.18359375,-1542.9228515625,932.579833984375
