Category,Conclusion,Evidence
Global reconstruction,Stage 2 improved the global MAE.,Global MAE changed from 343.76 m/s to 180.43 m/s.
Void amplitude recovery,Stage 2 improved the recovered void amplitude.,Void recovery changed from 80.74% to 87.98%.
Void localization,Stage 2 improved void localization.,Detection efficiency changed from 0.917 to 0.959.
Stage 2 detection decision,Stage 2 passed the circular void detection criteria.,"Recovery OK: True, localization OK: True, false positive OK: True, background OK: True."
