FWI stage,Stage description,void_speed_fraction,void_speed_percent_of_silicon,void_contrast_fraction_relative_to_silicon,void_contrast_percent_relative_to_silicon,true_void_speed_m_per_s,silicon_background_speed_m_per_s,speed_difference_from_silicon_m_per_s,speed_difference_percent_of_silicon,true_void_update_relative_to_silicon_m_per_s,required_update_m_per_s,max_velocity_update_m_per_s,max_update_percent_of_silicon,theoretical_max_recovery_percent_due_to_range,reconstructed_mean_void_speed_m_per_s,reconstructed_median_void_speed_m_per_s,reconstructed_std_void_speed_m_per_s,reconstructed_mean_void_update_m_per_s,void_velocity_update_recovery_percent,void_MAE_m_per_s,void_RMSE_m_per_s,void_Bias_m_per_s,background_MAE_m_per_s,background_RMSE_m_per_s,background_Bias_m_per_s,void_expected_negative_energy_m_per_s,background_false_negative_energy_m_per_s,void_detection_efficiency_0_to_1,false_positive_ratio_background_to_void,wrong_sign_positive_energy_inside_void_m_per_s,wrong_sign_ratio_inside_void,recovery_ok,localization_ok,false_positive_ok,wrong_sign_ok,background_ok,successful_detection,number_of_void_pixels,number_of_background_pixels
Stage 1,20 MHz low-frequency FWI reconstruction,0.7,70.0,0.30000000000000004,30.000000000000004,5903.099999999999,8433.0,2529.9000000000005,30.000000000000007,-2529.9000000000005,2529.9000000000005,2529.9000000000005,30.000000000000007,100.0,6390.253,6326.6177,183.34546,-2042.7468,80.74418,487.15305,520.5128,487.15305,337.30728,427.2512,-30.745226,2042.7468,184.02628,0.9173574,0.09008766,0.0,0.0,True,True,True,True,True,True,197,4379
Stage 2,85 MHz high-frequency FWI reconstruction initialized from Stage 1,0.7,70.0,0.30000000000000004,30.000000000000004,5903.099999999999,8433.0,2529.9000000000005,30.000000000000007,-2529.9000000000005,2529.9000000000005,2529.9000000000005,30.000000000000007,100.0,6207.315,6117.5024,200.17064,-2225.6848,87.97521,304.21503,364.1635,304.21503,174.86073,262.03186,-17.528742,2225.6848,96.19473,0.9585703,0.043220285,0.0,0.0,True,True,True,True,True,True,197,4379
