section,experiment_name,experiment_type,num_bands,geometry,metric,stage1_value,stage2_value,improvement_amount,interpretation,tectonic_band_number,band_type,stage,value,computed_from_map_long
band_recovery,6 ideal bands,resolution_limit,6,ideal_horizontal,RMSE_inside_band_m_per_s,,,,band-level metric,1.0,fast band,Stage 2,32.83704,
band_recovery,6 ideal bands,resolution_limit,6,ideal_horizontal,detection_efficiency_0_to_1,,,,band-level metric,1.0,fast band,Stage 2,0.74379385,
band_recovery,6 ideal bands,resolution_limit,6,ideal_horizontal,false_positive_ratio,,,,band-level metric,1.0,fast band,Stage 2,0.34445864,
band_recovery,6 ideal bands,resolution_limit,6,ideal_horizontal,wrong_sign_ratio_inside_band,,,,band-level metric,1.0,fast band,Stage 2,0.0,
band_recovery,6 ideal bands,resolution_limit,6,ideal_horizontal,velocity_update_recovery_percent,,,,band-level metric,2.0,slow band,Stage 1,83.33011,
band_recovery,6 ideal bands,resolution_limit,6,ideal_horizontal,MAE_inside_band_m_per_s,,,,band-level metric,2.0,slow band,Stage 1,29.851477,
band_recovery,6 ideal bands,resolution_limit,6,ideal_horizontal,RMSE_inside_band_m_per_s,,,,band-level metric,2.0,slow band,Stage 1,37.91581,
band_recovery,6 ideal bands,resolution_limit,6,ideal_horizontal,detection_efficiency_0_to_1,,,,band-level metric,2.0,slow band,Stage 1,0.72434735,
band_recovery,6 ideal bands,resolution_limit,6,ideal_horizontal,false_positive_ratio,,,,band-level metric,2.0,slow band,Stage 1,0.38055313,
band_recovery,6 ideal bands,resolution_limit,6,ideal_horizontal,wrong_sign_ratio_inside_band,,,,band-level metric,2.0,slow band,Stage 1,0.0,
band_recovery,6 ideal bands,resolution_limit,6,ideal_horizontal,velocity_update_recovery_percent,,,,band-level metric,2.0,slow band,Stage 2,67.58626,
band_recovery,6 ideal bands,resolution_limit,6,ideal_horizontal,MAE_inside_band_m_per_s,,,,band-level metric,2.0,slow band,Stage 2,55.384033,
band_recovery,6 ideal bands,resolution_limit,6,ideal_horizontal,RMSE_inside_band_m_per_s,,,,band-level metric,2.0,slow band,Stage 2,60.70991,
band_recovery,6 ideal bands,resolution_limit,6,ideal_horizontal,detection_efficiency_0_to_1,,,,band-level metric,2.0,slow band,Stage 2,0.67317915,
band_recovery,6 ideal bands,resolution_limit,6,ideal_horizontal,false_positive_ratio,,,,band-level metric,2.0,slow band,Stage 2,0.48548862,
band_recovery,6 ideal bands,resolution_limit,6,ideal_horizontal,wrong_sign_ratio_inside_band,,,,band-level metric,2.0,slow band,Stage 2,0.0,
band_recovery,6 ideal bands,resolution_limit,6,ideal_horizontal,velocity_update_recovery_percent,,,,band-level metric,3.0,fast band,Stage 1,66.84443,
band_recovery,6 ideal bands,resolution_limit,6,ideal_horizontal,MAE_inside_band_m_per_s,,,,band-level metric,3.0,fast band,Stage 1,83.880516,
band_recovery,6 ideal bands,resolution_limit,6,ideal_horizontal,RMSE_inside_band_m_per_s,,,,band-level metric,3.0,fast band,Stage 1,86.40704,
band_recovery,6 ideal bands,resolution_limit,6,ideal_horizontal,detection_efficiency_0_to_1,,,,band-level metric,3.0,fast band,Stage 1,0.7640414,
band_recovery,6 ideal bands,resolution_limit,6,ideal_horizontal,false_positive_ratio,,,,band-level metric,3.0,fast band,Stage 1,0.30882952,
band_recovery,6 ideal bands,resolution_limit,6,ideal_horizontal,wrong_sign_ratio_inside_band,,,,band-level metric,3.0,fast band,Stage 1,0.0,
band_recovery,6 ideal bands,resolution_limit,6,ideal_horizontal,velocity_update_recovery_percent,,,,band-level metric,3.0,fast band,Stage 2,65.08759,
band_recovery,6 ideal bands,resolution_limit,6,ideal_horizontal,MAE_inside_band_m_per_s,,,,band-level metric,3.0,fast band,Stage 2,88.62445,
band_recovery,6 ideal bands,resolution_limit,6,ideal_horizontal,RMSE_inside_band_m_per_s,,,,band-level metric,3.0,fast band,Stage 2,92.316734,
band_recovery,6 ideal bands,resolution_limit,6,ideal_horizontal,detection_efficiency_0_to_1,,,,band-level metric,3.0,fast band,Stage 2,0.7713543,
band_recovery,6 ideal bands,resolution_limit,6,ideal_horizontal,false_positive_ratio,,,,band-level metric,3.0,fast band,Stage 2,0.29642105,
band_recovery,6 ideal bands,resolution_limit,6,ideal_horizontal,wrong_sign_ratio_inside_band,,,,band-level metric,3.0,fast band,Stage 2,0.0,
band_recovery,6 ideal bands,resolution_limit,6,ideal_horizontal,velocity_update_recovery_percent,,,,band-level metric,4.0,slow band,Stage 1,69.728546,
band_recovery,6 ideal bands,resolution_limit,6,ideal_horizontal,MAE_inside_band_m_per_s,,,,band-level metric,4.0,slow band,Stage 1,76.583984,
band_recovery,6 ideal bands,resolution_limit,6,ideal_horizontal,RMSE_inside_band_m_per_s,,,,band-level metric,4.0,slow band,Stage 1,80.469986,
band_recovery,6 ideal bands,resolution_limit,6,ideal_horizontal,detection_efficiency_0_to_1,,,,band-level metric,4.0,slow band,Stage 1,0.77474695,
band_recovery,6 ideal bands,resolution_limit,6,ideal_horizontal,false_positive_ratio,,,,band-level metric,4.0,slow band,Stage 1,0.290744,
band_recovery,6 ideal bands,resolution_limit,6,ideal_horizontal,wrong_sign_ratio_inside_band,,,,band-level metric,4.0,slow band,Stage 1,0.0,
band_recovery,6 ideal bands,resolution_limit,6,ideal_horizontal,velocity_update_recovery_percent,,,,band-level metric,4.0,slow band,Stage 2,73.90225,
