experiment_name,experiment_type,num_bands,geometry,tectonic_band_number,band_type,FWI stage,velocity_update_recovery_percent,MAE_inside_band_m_per_s,RMSE_inside_band_m_per_s,detection_efficiency_0_to_1,false_positive_ratio,wrong_sign_ratio_inside_band
10 ideal bands,resolution_limit,10,ideal_horizontal,8,slow band,Stage 2,60.34855,167.19026,168.05035,0.77935076,0.2831193208694458,0.0
10 ideal bands,resolution_limit,10,ideal_horizontal,9,fast band,Stage 1,11.561082,447.4837,447.78384,0.80730754,0.2386852800846099,0.0025234667118638
10 ideal bands,resolution_limit,10,ideal_horizontal,9,fast band,Stage 2,60.57111,199.50275,199.96309,0.8154759,0.2262779027223587,0.0
10 ideal bands,resolution_limit,10,ideal_horizontal,10,slow band,Stage 1,16.842422,420.7607,421.4153,0.72788054,0.3738517761230469,0.0
10 ideal bands,resolution_limit,10,ideal_horizontal,10,slow band,Stage 2,61.8327,193.1189,193.58961,0.8177932,0.2228030115365982,0.0
3 irregular tectonic bands,realistic_tectonic,3,irregular_tectonic,1,fast band,Stage 1,63.917698,152.14143,156.87761,0.7016456,0.42522097,0.0
3 irregular tectonic bands,realistic_tectonic,3,irregular_tectonic,1,fast band,Stage 2,92.424736,47.178688,70.87901,0.7882648,0.2686092,0.0
3 irregular tectonic bands,realistic_tectonic,3,irregular_tectonic,2,slow band,Stage 1,45.06739,138.97423,155.85976,0.8018427,0.24712737,0.008192738
3 irregular tectonic bands,realistic_tectonic,3,irregular_tectonic,2,slow band,Stage 2,78.34493,70.626045,91.66674,0.9099081,0.099012114,0.0014102594
3 irregular tectonic bands,realistic_tectonic,3,irregular_tectonic,3,fast band,Stage 1,55.2747,301.7344,305.19867,0.791909,0.2627714,0.0
3 irregular tectonic bands,realistic_tectonic,3,irregular_tectonic,3,fast band,Stage 2,72.59184,184.90607,201.91484,0.85091186,0.17520991,0.0
