region,FWI stage,Stage description,number_of_pixels,MAE_background_m_per_s,RMSE_background_m_per_s,Bias_background_m_per_s,mean_absolute_velocity_update_background_m_per_s,median_absolute_velocity_update_background_m_per_s,max_absolute_velocity_update_background_m_per_s,mean_positive_update_background_m_per_s,mean_negative_update_background_m_per_s,experiment_name,experiment_type,num_bands,geometry,computed_from_map_long,fraction_background_pixels_abs_update_ge_25_m_per_s,fraction_background_pixels_abs_update_ge_50_m_per_s,fraction_background_pixels_abs_update_ge_100_m_per_s,fraction_background_pixels_abs_update_ge_150_m_per_s,fraction_background_pixels_abs_update_ge_200_m_per_s
silicon_background_outside_true_bands,Stage 1,20 MHz low-frequency FWI reconstruction,2992,90.2031520481591,105.53850247470916,2.157088489482619,90.2031520481591,87.31494,243.24316,46.18012026882086,44.02303177933823,6 ideal bands,resolution_limit,6,ideal_horizontal,yes,0.8606283422459893,0.7386363636363636,0.4254679144385027,0.1590909090909091,0.01838235294117647
silicon_background_outside_true_bands,Stage 2,85 MHz high-frequency FWI reconstruction initialized from Stage 1,2992,79.5382388892445,97.96866896767136,-1.9113667118430808,79.5382388892445,70.899415,279.21094,38.8134360887007,40.724802800543785,6 ideal bands,resolution_limit,6,ideal_horizontal,yes,0.7917780748663101,0.6206550802139037,0.365975935828877,0.14338235294117646,0.020053475935828877
silicon_background_outside_true_bands,Stage 2 minus Stage 1,Positive improvement means background artifact/error decreased,2992,10.664913158914601,7.569833507037799,0.2457217776395384,10.664913158914601,16.415525000000002,-35.967780000000005,7.36668418012016,3.298228978794448,6 ideal bands,resolution_limit,6,ideal_horizontal,yes,0.06885026737967914,0.11798128342245995,0.059491978609625684,0.015708556149732628,-0.0016711229946524062
silicon_background_outside_true_bands,Stage 1,20 MHz low-frequency FWI reconstruction,3168,84.49346949857261,99.79658023611252,-0.9938055043566928,84.49346949857261,83.63476750000001,199.0664,41.74983199710795,42.74363750146464,8 ideal bands,resolution_limit,8,ideal_horizontal,yes,0.8301767676767676,0.694760101010101,0.35669191919191917,0.15246212121212122,0.0
silicon_background_outside_true_bands,Stage 2,85 MHz high-frequency FWI reconstruction initialized from Stage 1,3168,87.48139262590435,104.8993739570952,-0.3724121672080205,87.48139262590435,73.55664200000001,312.75342,43.55449022934817,43.92690239655619,8 ideal bands,resolution_limit,8,ideal_horizontal,yes,0.9002525252525253,0.6616161616161617,0.35542929292929293,0.17329545454545456,0.041351010101010104
silicon_background_outside_true_bands,Stage 2 minus Stage 1,Positive improvement means background artifact/error decreased,3168,-2.98792312733174,-5.102793720982675,0.6213933371486723,-2.98792312733174,10.078125499999999,-113.68702000000002,-1.8046582322402216,-1.183264895091547,8 ideal bands,resolution_limit,8,ideal_horizontal,yes,-0.07007575757575768,0.03314393939393934,0.001262626262626243,-0.020833333333333343,-0.041351010101010104
silicon_background_outside_true_bands,Stage 1,20 MHz low-frequency FWI reconstruction,2816,53.8809519558505,77.83099526652349,-24.359228295312143,53.8809519558505,40.492676,243.21924,14.760861830269176,39.12009012558132,10 ideal bands,resolution_limit,10,ideal_horizontal,yes,0.6928267045454546,0.33451704545454547,0.12535511363636365,0.09623579545454546,0.060369318181818184
silicon_background_outside_true_bands,Stage 2,85 MHz high-frequency FWI reconstruction initialized from Stage 1,2816,126.0523080171955,145.38892167037588,-0.09710287289506296,126.0523080171955,128.86669999999998,412.94434,62.97760257215021,63.07470544504529,10 ideal bands,resolution_limit,10,ideal_horizontal,yes,0.8845880681818182,0.7826704545454546,0.6207386363636364,0.43004261363636365,0.18892045454545456
silicon_background_outside_true_bands,Stage 2 minus Stage 1,Positive improvement means background artifact/error decreased,2816,-72.171356061345,-67.55792640385239,24.26212542241708,-72.171356061345,-88.37402399999998,-169.7251,-48.21674074188103,-23.95461531946397,10 ideal bands,resolution_limit,10,ideal_horizontal,yes,-0.19176136363636365,-0.4481534090909091,-0.4953835227272727,-0.3338068181818182,-0.12855113636363638
silicon_background_outside_true_bands,Stage 1,20 MHz low-frequency FWI reconstruction,3234,122.77796,150.79657,48.987766,122.77796,104.24463,416.67285,85.882866,36.895096,3 irregular tectonic bands,realistic_tectonic,3,irregular_tectonic,no,0.8979591836734694,0.7687074829931972,0.5197897340754484,0.3228200371057514,0.1907854050711193
silicon_background_outside_true_bands,Stage 2,85 MHz high-frequency FWI reconstruction initialized from Stage 1,3234,79.83117,102.49177,28.785988,79.83117,65.99756,485.12305,54.30858,25.522593,3 irregular tectonic bands,realistic_tectonic,3,irregular_tectonic,no,0.8119975262832406,0.6171923314780458,0.2906617192331478,0.1261595547309833,0.0538033395176252
silicon_background_outside_true_bands,Stage 2 minus Stage 1,Positive improvement means background artifact/error decreased,3234,42.946793,48.304802,20.201778,42.946793,38.24707,-68.450195,31.574287,11.372503,3 irregular tectonic bands,realistic_tectonic,3,irregular_tectonic,no,0.0859616573902287,0.1515151515151515,0.2291280148423005,0.1966604823747681,0.1369820655534941
