experiment_name,experiment_type,num_bands,geometry,Metric short name,Stage 1,Stage 2,Stage 2 minus Stage 1,Improvement amount
10 ideal bands,resolution_limit,10,ideal_horizontal,Bias,-18.19690704345703,-0.5890865921974182,17.607820451259613,17.607820451259613
10 ideal bands,resolution_limit,10,ideal_horizontal,Correlation,0.3645472966897692,0.7630626300192181,0.39851533332944894,0.39851533332944894
10 ideal bands,resolution_limit,10,ideal_horizontal,MAE,151.92471313476562,127.63671875,-24.287994384765625,24.287994384765625
10 ideal bands,resolution_limit,10,ideal_horizontal,NRMSE,20.54900360107422,14.199347496032717,-6.349656105041502,6.349656105041502
10 ideal bands,resolution_limit,10,ideal_horizontal,RMSE,207.94778442382812,143.6917724609375,-64.25601196289062,64.25601196289062
3 irregular tectonic bands,realistic_tectonic,3,irregular_tectonic,Bias,-3.2395498752593994,0.5531705617904663,3.7927204370498657,3.7927204370498657
3 irregular tectonic bands,realistic_tectonic,3,irregular_tectonic,Correlation,0.723128258090064,0.8947062023123203,0.17157794422225636,0.17157794422225636
3 irregular tectonic bands,realistic_tectonic,3,irregular_tectonic,MAE,147.47010803222656,87.98314666748047,-59.486961364746094,59.486961364746094
3 irregular tectonic bands,realistic_tectonic,3,irregular_tectonic,NRMSE,19.01871681213379,12.42104434967041,-6.597672462463379,6.597672462463379
3 irregular tectonic bands,realistic_tectonic,3,irregular_tectonic,RMSE,176.4232940673828,115.22132110595705,-61.20197296142577,61.20197296142577
6 ideal bands,resolution_limit,6,ideal_horizontal,Bias,0.461974024772644,-3.2308528423309326,-3.6928268671035767,-3.6928268671035767
6 ideal bands,resolution_limit,6,ideal_horizontal,Correlation,0.7599664984637354,0.800887941314884,0.040921442851148626,0.040921442851148626
6 ideal bands,resolution_limit,6,ideal_horizontal,MAE,88.1549072265625,77.77481842041016,-10.380088806152344,10.380088806152344
6 ideal bands,resolution_limit,6,ideal_horizontal,NRMSE,15.0533447265625,13.81674861907959,-1.2365961074829102,1.2365961074829102
6 ideal bands,resolution_limit,6,ideal_horizontal,RMSE,101.555908203125,93.2133331298828,-8.342575073242202,8.342575073242202
8 ideal bands,resolution_limit,8,ideal_horizontal,Bias,-0.6587035655975342,-4.347771167755127,-3.6890676021575928,-3.6890676021575928
8 ideal bands,resolution_limit,8,ideal_horizontal,Correlation,0.7222489184554806,0.7795580701585131,0.057309151703032524,0.057309151703032524
8 ideal bands,resolution_limit,8,ideal_horizontal,MAE,101.3985366821289,93.27281951904295,-8.125717163085952,8.125717163085952
8 ideal bands,resolution_limit,8,ideal_horizontal,NRMSE,14.09797477722168,12.803213119506836,-1.2947616577148438,1.2947616577148438
8 ideal bands,resolution_limit,8,ideal_horizontal,RMSE,118.88825988769533,107.9695281982422,-10.918731689453125,10.918731689453125
