experiment_name,num_bands,Bias,Correlation,MAE,NRMSE,RMSE
6 ideal bands,6,-3.2308528423309326,0.800887941314884,77.77481842041016,13.81674861907959,93.2133331298828
8 ideal bands,8,-4.347771167755127,0.7795580701585131,93.27281951904295,12.803213119506836,107.9695281982422
10 ideal bands,10,-0.5890865921974182,0.7630626300192181,127.63671875,14.199347496032717,143.6917724609375
