Category,Conclusion,Evidence
Global reconstruction,Stage 2 did not improve the global MAE.,Global MAE changed from 639.36 m/s to 705.02 m/s.
Void amplitude recovery,Stage 2 did not improve the recovered void amplitude.,Void recovery changed from -8.25% to -11.40%.
Void localization,Stage 2 did not improve void localization.,Detection efficiency changed from 0.548 to 0.497.
Stage 2 detection decision,Stage 2 did not pass the circular void detection criteria.,"Recovery OK: False, localization OK: False, false positive OK: False, background OK: True."
