FWI stage,Stage description,void_speed_fraction,true_void_speed_m_per_s,true_void_update_relative_to_silicon_m_per_s,required_update_m_per_s,max_velocity_update_m_per_s,max_update_percent_of_silicon,theoretical_max_recovery_percent_due_to_range,reconstructed_mean_void_speed_m_per_s,reconstructed_median_void_speed_m_per_s,reconstructed_std_void_speed_m_per_s,reconstructed_mean_void_update_m_per_s,void_velocity_update_recovery_percent,void_MAE_m_per_s,void_RMSE_m_per_s,void_Bias_m_per_s,background_MAE_m_per_s,background_RMSE_m_per_s,background_Bias_m_per_s,void_expected_negative_energy_m_per_s,background_false_negative_energy_m_per_s,void_detection_efficiency_0_to_1,false_positive_ratio_background_to_void,wrong_sign_positive_energy_inside_void_m_per_s,wrong_sign_ratio_inside_void,recovery_ok,localization_ok,false_positive_ok,background_ok,successful_detection,number_of_void_pixels,number_of_background_pixels
Stage 1,20 MHz low-frequency FWI reconstruction,0.5,4216.5,-4216.5,4216.5,1500.0,17.787264318747777,35.574528637495554,8780.972,8948.395,768.0201,347.97205,-8.252627,4564.472,4628.635,4564.472,462.77716,569.8463,127.4366,203.51251,167.67029,0.5482811,0.823882,551.48456,2.7098312,False,False,False,True,False,197,4379
Stage 2,85 MHz high-frequency FWI reconstruction initialized from Stage 1,0.5,4216.5,-4216.5,4216.5,1500.0,17.787264318747777,35.574528637495554,8913.64,9142.993,817.74786,480.63925,-11.39901,4697.139,4767.791,4697.139,525.4244,645.2169,150.23506,185.59209,187.59464,0.497317,1.0107901,666.23126,3.5897613,False,False,False,True,False,197,4379
