Category,Conclusion,Evidence
Global reconstruction,Stage 2 did not improve the global MAE.,Global MAE changed from 1085.15 m/s to 1167.08 m/s.
Void amplitude recovery,Stage 2 did not improve the recovered void amplitude.,Void recovery changed from -26.09% to -28.46%.
Void localization,Stage 2 did not improve void localization.,Detection efficiency changed from 0.397 to 0.387.
Stage 2 detection decision,Stage 2 did not pass the circular void detection criteria.,"Recovery OK: False, localization OK: False, false positive OK: False, background OK: True."
