FWI stage,Stage description,detection_threshold_fraction_of_true_update,detection_threshold_m_per_s,true_void_center_row,true_void_center_col,true_void_radius_cells,true_void_area_pixels,true_void_area_square_micrometers,detected_void_area_pixels,detected_void_area_square_micrometers,detected_center_row,detected_center_col,center_error_cells,center_error_micrometers,true_equivalent_radius_cells,detected_equivalent_radius_cells,radius_error_cells,radius_error_micrometers,intersection_pixels,union_pixels,IoU_intersection_over_union,precision_detected_pixels_inside_true_void,recall_true_void_pixels_detected,F1_score
Stage 1,20 MHz low-frequency FWI reconstruction,0.5,2108.25,72,90,8,197,4925.0,52,1300.0000000000002,72.11538461538461,104.4423076923077,14.442768608849116,72.21384304424559,7.918778161951929,4.068428945128219,-3.8503492168237097,-19.25174608411855,0,249,0.0,0.0,0.0,
Stage 2,85 MHz high-frequency FWI reconstruction initialized from Stage 1,0.5,2108.25,72,90,8,197,4925.0,61,1525.0000000000005,71.98360655737704,100.77049180327869,10.770504279255194,53.852521396275975,7.918778161951929,4.406461512053774,-3.512316649898155,-17.561583249490777,2,256,0.0078125,0.03278688524590164,0.01015228426395939,0.015503875968992248
