FWI stage,Stage description,void_speed_fraction,void_speed_percent_of_silicon,void_contrast_fraction_relative_to_silicon,void_contrast_percent_relative_to_silicon,true_void_speed_m_per_s,silicon_background_speed_m_per_s,speed_difference_from_silicon_m_per_s,speed_difference_percent_of_silicon,true_void_update_relative_to_silicon_m_per_s,required_update_m_per_s,max_velocity_update_m_per_s,max_update_percent_of_silicon,theoretical_max_recovery_percent_due_to_range,reconstructed_mean_void_speed_m_per_s,reconstructed_median_void_speed_m_per_s,reconstructed_std_void_speed_m_per_s,reconstructed_mean_void_update_m_per_s,void_velocity_update_recovery_percent,void_MAE_m_per_s,void_RMSE_m_per_s,void_Bias_m_per_s,background_MAE_m_per_s,background_RMSE_m_per_s,background_Bias_m_per_s,void_expected_negative_energy_m_per_s,background_false_negative_energy_m_per_s,void_detection_efficiency_0_to_1,false_positive_ratio_background_to_void,wrong_sign_positive_energy_inside_void_m_per_s,wrong_sign_ratio_inside_void,recovery_ok,localization_ok,false_positive_ok,wrong_sign_ok,background_ok,successful_detection,number_of_void_pixels,number_of_background_pixels
Stage 1,20 MHz low-frequency FWI reconstruction,0.2,20.0,0.8,80.0,1686.6000000000001,8433.0,6746.4,80.0,-6746.4,6746.4,6746.400000000001,80.0,100.0,8205.646,7823.255,2343.961,-227.35327,3.3699942,6519.047,6927.635,6519.047,1561.3257,1882.1078,676.76825,1123.2112,442.27863,0.7174823,0.39376265,895.85785,0.7975863,False,True,True,False,True,False,197,4379
Stage 2,85 MHz high-frequency FWI reconstruction initialized from Stage 1,0.2,20.0,0.8,80.0,1686.6000000000001,8433.0,6746.4,80.0,-6746.4,6746.4,6746.400000000001,80.0,100.0,8703.796,8411.393,2514.097,270.7962,-4.0139365,7017.1963,7453.9736,7017.1963,1505.6887,1859.1241,647.20447,971.8726,429.2422,0.69364244,0.44166508,1242.669,1.2786336,False,True,True,False,True,False,197,4379
