Category,Conclusion,Evidence
Global reconstruction,Stage 2 improved the global MAE.,Global MAE changed from 1774.76 m/s to 1742.96 m/s.
Void amplitude recovery,Stage 2 did not improve the recovered void amplitude.,Void recovery changed from 3.37% to -4.01%.
Void localization,Stage 2 did not improve void localization.,Detection efficiency changed from 0.717 to 0.694.
Stage 2 detection decision,Stage 2 did not pass the circular void detection criteria.,"Recovery OK: False, localization OK: True, false positive OK: True, background OK: True."
