Category,Conclusion,Evidence
Global reconstruction,Stage 2 improved the global MAE.,Global MAE changed from 81.53 m/s to 46.50 m/s.
Void amplitude recovery,Stage 2 improved the recovered void amplitude.,Void recovery changed from 72.17% to 81.60%.
Void localization,Stage 2 improved void localization.,Detection efficiency changed from 0.931 to 0.966.
Stage 2 detection decision,Stage 2 passed the circular void detection criteria.,"Recovery OK: True, localization OK: True, false positive OK: True, background OK: True."
