FWI stage,Stage description,void_speed_fraction,void_speed_percent_of_silicon,void_contrast_fraction_relative_to_silicon,void_contrast_percent_relative_to_silicon,true_void_speed_m_per_s,silicon_background_speed_m_per_s,speed_difference_from_silicon_m_per_s,speed_difference_percent_of_silicon,true_void_update_relative_to_silicon_m_per_s,required_update_m_per_s,max_velocity_update_m_per_s,max_update_percent_of_silicon,theoretical_max_recovery_percent_due_to_range,reconstructed_mean_void_speed_m_per_s,reconstructed_median_void_speed_m_per_s,reconstructed_std_void_speed_m_per_s,reconstructed_mean_void_update_m_per_s,void_velocity_update_recovery_percent,void_MAE_m_per_s,void_RMSE_m_per_s,void_Bias_m_per_s,background_MAE_m_per_s,background_RMSE_m_per_s,background_Bias_m_per_s,void_expected_negative_energy_m_per_s,background_false_negative_energy_m_per_s,void_detection_efficiency_0_to_1,false_positive_ratio_background_to_void,wrong_sign_positive_energy_inside_void_m_per_s,wrong_sign_ratio_inside_void,recovery_ok,localization_ok,false_positive_ok,wrong_sign_ok,background_ok,successful_detection,number_of_void_pixels,number_of_background_pixels
Stage 1,20 MHz low-frequency FWI reconstruction,0.9,90.0,0.09999999999999998,9.999999999999998,7589.7,8433.0,843.3000000000002,10.000000000000002,-843.3000000000002,843.3000000000002,843.2999999999998,9.999999999999998,99.99999999999996,7824.3643,7813.343,62.09146,-608.635,72.17301,234.6653,242.7409,234.6653,74.639015,99.947655,-15.700709,608.635,45.169865,0.9309123,0.07421503,0.0,0.0,True,True,True,True,True,True,197,4379
Stage 2,85 MHz high-frequency FWI reconstruction initialized from Stage 1,0.9,90.0,0.09999999999999998,9.999999999999998,7589.7,8433.0,843.3000000000002,10.000000000000002,-843.3000000000002,843.3000000000002,843.2999999999998,9.999999999999998,99.99999999999996,7744.8467,7705.5576,92.46222,-688.1535,81.602455,155.14679,180.60948,155.14679,41.61597,64.27209,-6.9865794,688.1535,24.301275,0.96589077,0.03531374,0.0,0.0,True,True,True,True,True,True,197,4379
