FWI stage,Stage description,void_speed_fraction,true_void_speed_m_per_s,true_void_update_relative_to_silicon_m_per_s,required_update_m_per_s,max_velocity_update_m_per_s,max_update_percent_of_silicon,theoretical_max_recovery_percent_due_to_range,reconstructed_mean_void_speed_m_per_s,reconstructed_median_void_speed_m_per_s,reconstructed_std_void_speed_m_per_s,reconstructed_mean_void_update_m_per_s,void_velocity_update_recovery_percent,void_MAE_m_per_s,void_RMSE_m_per_s,void_Bias_m_per_s,background_MAE_m_per_s,background_RMSE_m_per_s,background_Bias_m_per_s,void_expected_negative_energy_m_per_s,background_false_negative_energy_m_per_s,void_detection_efficiency_0_to_1,false_positive_ratio_background_to_void,wrong_sign_positive_energy_inside_void_m_per_s,wrong_sign_ratio_inside_void,recovery_ok,localization_ok,false_positive_ok,background_ok,successful_detection,number_of_void_pixels,number_of_background_pixels
Stage 1,20 MHz low-frequency FWI reconstruction,0.5,4216.5,-4216.5,4216.5,3000.0,35.574528637495554,71.14905727499111,9135.102,9206.654,1093.0686,702.1015,-16.651287,4918.6016,5038.595,4918.6016,656.9056,848.9922,214.64333,198.45374,221.13113,0.4729764,1.1142704,900.5552,4.5378594,False,False,False,True,False,197,4379
Stage 2,85 MHz high-frequency FWI reconstruction initialized from Stage 1,0.5,4216.5,-4216.5,4216.5,3000.0,35.574528637495554,71.14905727499111,9267.677,9350.619,1215.3484,834.6764,-19.79548,5051.1763,5195.33,5051.1763,765.5577,981.4256,273.43945,201.81244,246.05908,0.45060343,1.2192464,1036.4888,5.1359015,False,False,False,True,False,197,4379
