FWI stage,Stage description,void_speed_fraction,true_void_speed_m_per_s,true_void_update_relative_to_silicon_m_per_s,required_update_m_per_s,max_velocity_update_m_per_s,max_update_percent_of_silicon,theoretical_max_recovery_percent_due_to_range,reconstructed_mean_void_speed_m_per_s,reconstructed_median_void_speed_m_per_s,reconstructed_std_void_speed_m_per_s,reconstructed_mean_void_update_m_per_s,void_velocity_update_recovery_percent,void_MAE_m_per_s,void_RMSE_m_per_s,void_Bias_m_per_s,background_MAE_m_per_s,background_RMSE_m_per_s,background_Bias_m_per_s,void_expected_negative_energy_m_per_s,background_false_negative_energy_m_per_s,void_detection_efficiency_0_to_1,false_positive_ratio_background_to_void,wrong_sign_positive_energy_inside_void_m_per_s,wrong_sign_ratio_inside_void,recovery_ok,localization_ok,false_positive_ok,background_ok,successful_detection,number_of_void_pixels,number_of_background_pixels
Stage 1,20 MHz low-frequency FWI reconstruction,0.5,4216.5,-4216.5,4216.5,4216.5,50.0,100.0,9268.01,9228.574,1246.3971,835.0096,-19.803383,5051.5093,5203.0044,5051.5093,737.5364,966.7927,260.04913,202.47333,238.74364,0.4588974,1.1791363,1037.4829,5.1240473,False,False,False,True,False,197,4379
Stage 2,85 MHz high-frequency FWI reconstruction initialized from Stage 1,0.5,4216.5,-4216.5,4216.5,4216.5,50.0,100.0,9461.49,9420.389,1358.8993,1028.4895,-24.39202,5244.9893,5418.1655,5244.9893,873.905,1139.5396,343.0784,195.00856,265.4133,0.4235432,1.3610342,1223.498,6.2740736,False,False,False,True,False,197,4379
