Category,Conclusion,Evidence
Global reconstruction,Stage 2 did not improve the global MAE.,Global MAE changed from 923.26 m/s to 1062.08 m/s.
Void amplitude recovery,Stage 2 did not improve the recovered void amplitude.,Void recovery changed from -19.80% to -24.39%.
Void localization,Stage 2 did not improve void localization.,Detection efficiency changed from 0.459 to 0.424.
Stage 2 detection decision,Stage 2 did not pass the circular void detection criteria.,"Recovery OK: False, localization OK: False, false positive OK: False, background OK: True."
