region,FWI stage,Stage description,number_of_pixels,MAE_background_m_per_s,RMSE_background_m_per_s,Bias_background_m_per_s,mean_absolute_velocity_update_background_m_per_s,median_absolute_velocity_update_background_m_per_s,max_absolute_velocity_update_background_m_per_s,mean_positive_update_background_m_per_s,mean_negative_update_background_m_per_s,fraction_background_pixels_abs_update_ge_25_m_per_s,fraction_background_pixels_abs_update_ge_50_m_per_s,fraction_background_pixels_abs_update_ge_100_m_per_s,fraction_background_pixels_abs_update_ge_150_m_per_s,fraction_background_pixels_abs_update_ge_200_m_per_s
silicon_background_outside_true_bands,Stage 1,20 MHz low-frequency FWI reconstruction,3234,122.77796,150.79657,48.987766,122.77796,104.24463,416.67285,85.882866,36.895096,0.8979591836734694,0.7687074829931972,0.5197897340754484,0.3228200371057514,0.19078540507111935
silicon_background_outside_true_bands,Stage 2,85 MHz high-frequency FWI reconstruction initialized from Stage 1,3234,79.83117,102.49177,28.785988,79.83117,65.99756,485.12305,54.30858,25.522593,0.8119975262832406,0.6171923314780458,0.2906617192331478,0.1261595547309833,0.05380333951762523
silicon_background_outside_true_bands,Stage 2 minus Stage 1,Positive improvement means background artifact/error decreased,3234,42.946793,48.304802,20.201778,42.946793,38.24707,-68.450195,31.574287,11.372503,0.08596165739022876,0.1515151515151515,0.22912801484230055,0.1966604823747681,0.13698206555349413
