FWI stage,Stage description,void_speed_fraction,true_void_speed_m_per_s,true_void_update_relative_to_silicon_m_per_s,required_update_m_per_s,max_velocity_update_m_per_s,max_update_percent_of_silicon,theoretical_max_recovery_percent_due_to_range,reconstructed_mean_void_speed_m_per_s,reconstructed_median_void_speed_m_per_s,reconstructed_std_void_speed_m_per_s,reconstructed_mean_void_update_m_per_s,void_velocity_update_recovery_percent,void_MAE_m_per_s,void_RMSE_m_per_s,void_Bias_m_per_s,background_MAE_m_per_s,background_RMSE_m_per_s,background_Bias_m_per_s,void_expected_negative_energy_m_per_s,background_false_negative_energy_m_per_s,void_detection_efficiency_0_to_1,false_positive_ratio_background_to_void,wrong_sign_positive_energy_inside_void_m_per_s,wrong_sign_ratio_inside_void,recovery_ok,localization_ok,false_positive_ok,background_ok,successful_detection,number_of_void_pixels,number_of_background_pixels
Stage 1,20 MHz low-frequency FWI reconstruction,0.5,4216.5,-4216.5,4216.5,700.0,8.300723348748962,16.601446697497924,7827.2476,7810.851,47.44259,-605.7527,14.366244,3610.7476,3611.0588,3610.7476,340.67184,392.4749,-145.14268,605.7527,242.90729,0.7137755,0.40100077,0.0,0.0,False,True,True,True,False,197,4379
Stage 2,85 MHz high-frequency FWI reconstruction initialized from Stage 1,0.5,4216.5,-4216.5,4216.5,700.0,8.300723348748962,16.601446697497924,7863.703,7874.9604,63.08716,-569.29706,13.50165,3647.2031,3647.7485,3647.2031,364.53928,409.4237,-51.037163,569.29706,207.78821,0.73260564,0.36499083,0.0,0.0,False,True,True,True,False,197,4379
