Category,Conclusion,Evidence
Global reconstruction,Stage 2 did not improve the global MAE.,Global MAE changed from 481.45 m/s to 505.86 m/s.
Void amplitude recovery,Stage 2 did not improve the recovered void amplitude.,Void recovery changed from 14.37% to 13.50%.
Void localization,Stage 2 improved void localization.,Detection efficiency changed from 0.714 to 0.733.
Stage 2 detection decision,Stage 2 did not pass the circular void detection criteria.,"Recovery OK: False, localization OK: True, false positive OK: True, background OK: True."
