FWI stage,Stage description,void_speed_fraction,void_speed_percent_of_silicon,void_contrast_fraction_relative_to_silicon,void_contrast_percent_relative_to_silicon,true_void_speed_m_per_s,silicon_background_speed_m_per_s,speed_difference_from_silicon_m_per_s,speed_difference_percent_of_silicon,true_void_update_relative_to_silicon_m_per_s,required_update_m_per_s,max_velocity_update_m_per_s,max_update_percent_of_silicon,theoretical_max_recovery_percent_due_to_range,reconstructed_mean_void_speed_m_per_s,reconstructed_median_void_speed_m_per_s,reconstructed_std_void_speed_m_per_s,reconstructed_mean_void_update_m_per_s,void_velocity_update_recovery_percent,void_MAE_m_per_s,void_RMSE_m_per_s,void_Bias_m_per_s,background_MAE_m_per_s,background_RMSE_m_per_s,background_Bias_m_per_s,void_expected_negative_energy_m_per_s,background_false_negative_energy_m_per_s,void_detection_efficiency_0_to_1,false_positive_ratio_background_to_void,wrong_sign_positive_energy_inside_void_m_per_s,wrong_sign_ratio_inside_void,recovery_ok,localization_ok,false_positive_ok,wrong_sign_ok,background_ok,successful_detection,number_of_void_pixels,number_of_background_pixels
Stage 1,20 MHz low-frequency FWI reconstruction,0.6,60.0,0.4,40.0,5059.8,8433.0,3373.2,40.0,-3373.2,3373.2,3373.2000000000003,40.0,100.0,5658.103,5539.4062,286.70654,-2774.896,82.263016,598.3034,663.4513,598.3034,490.2118,641.14886,-25.70317,2774.896,257.95746,0.9149456,0.092961125,0.0,0.0,True,True,True,True,True,True,197,4379
Stage 2,85 MHz high-frequency FWI reconstruction initialized from Stage 1,0.6,60.0,0.4,40.0,5059.8,8433.0,3373.2,40.0,-3373.2,3373.2,3373.2000000000003,40.0,100.0,5458.397,5364.093,277.34933,-2974.6028,88.18341,398.59683,485.5946,398.59683,291.86285,431.02075,-24.07916,2974.6028,157.971,0.9495715,0.053106584,0.0,0.0,True,True,True,True,True,True,197,4379
