Category,Conclusion,Evidence
Global reconstruction,Stage 2 did not improve the global MAE.,Global MAE changed from 1139.98 m/s to 1213.53 m/s.
Void amplitude recovery,Stage 2 did not improve the recovered void amplitude.,Void recovery changed from -27.91% to -29.19%.
Void localization,Stage 2 improved void localization.,Detection efficiency changed from 0.367 to 0.380.
Stage 2 detection decision,Stage 2 did not pass the circular void detection criteria.,"Recovery OK: False, localization OK: False, false positive OK: False, background OK: True."
