FWI stage,Stage description,void_speed_fraction,true_void_speed_m_per_s,true_void_update_relative_to_silicon_m_per_s,required_update_m_per_s,max_velocity_update_m_per_s,max_update_percent_of_silicon,theoretical_max_recovery_percent_due_to_range,reconstructed_mean_void_speed_m_per_s,reconstructed_median_void_speed_m_per_s,reconstructed_std_void_speed_m_per_s,reconstructed_mean_void_update_m_per_s,void_velocity_update_recovery_percent,void_MAE_m_per_s,void_RMSE_m_per_s,void_Bias_m_per_s,background_MAE_m_per_s,background_RMSE_m_per_s,background_Bias_m_per_s,void_expected_negative_energy_m_per_s,background_false_negative_energy_m_per_s,void_detection_efficiency_0_to_1,false_positive_ratio_background_to_void,wrong_sign_positive_energy_inside_void_m_per_s,wrong_sign_ratio_inside_void,recovery_ok,localization_ok,false_positive_ok,background_ok,successful_detection,number_of_void_pixels,number_of_background_pixels
Stage 1,20 MHz low-frequency FWI reconstruction,0.5,4216.5,-4216.5,4216.5,7500.0,88.93632159373888,100.0,9609.623,9609.155,1419.3107,1176.623,-27.905207,5393.123,5576.7573,5393.123,948.6444,1262.0956,393.14932,160.84758,277.74756,0.3667336,1.7267748,1337.4708,8.315145,False,False,False,True,False,197,4379
Stage 2,85 MHz high-frequency FWI reconstruction initialized from Stage 1,0.5,4216.5,-4216.5,4216.5,7500.0,88.93632159373888,100.0,9663.979,9580.581,1507.3022,1230.9774,-29.194294,5447.478,5652.165,5447.478,1023.05273,1370.0605,440.51343,178.27783,291.26968,0.37968007,1.6337965,1409.2552,7.904826,False,False,False,True,False,197,4379
