FWI stage,Stage description,void_speed_fraction,void_speed_percent_of_silicon,void_contrast_fraction_relative_to_silicon,void_contrast_percent_relative_to_silicon,true_void_speed_m_per_s,silicon_background_speed_m_per_s,speed_difference_from_silicon_m_per_s,speed_difference_percent_of_silicon,true_void_update_relative_to_silicon_m_per_s,required_update_m_per_s,max_velocity_update_m_per_s,max_update_percent_of_silicon,theoretical_max_recovery_percent_due_to_range,reconstructed_mean_void_speed_m_per_s,reconstructed_median_void_speed_m_per_s,reconstructed_std_void_speed_m_per_s,reconstructed_mean_void_update_m_per_s,void_velocity_update_recovery_percent,void_MAE_m_per_s,void_RMSE_m_per_s,void_Bias_m_per_s,background_MAE_m_per_s,background_RMSE_m_per_s,background_Bias_m_per_s,void_expected_negative_energy_m_per_s,background_false_negative_energy_m_per_s,void_detection_efficiency_0_to_1,false_positive_ratio_background_to_void,wrong_sign_positive_energy_inside_void_m_per_s,wrong_sign_ratio_inside_void,recovery_ok,localization_ok,false_positive_ok,wrong_sign_ok,background_ok,successful_detection,number_of_void_pixels,number_of_background_pixels
Stage 1,20 MHz low-frequency FWI reconstruction,0.4,40.0,0.6,60.0,3373.2000000000003,8433.0,5059.799999999999,59.99999999999999,-5059.799999999999,5059.799999999999,5059.8,60.0,100.0,5902.707,5567.262,1187.8262,-2530.2935,50.00778,2529.5068,2794.519,2529.5068,1525.6923,1839.9584,201.3148,2577.9966,662.18866,0.7956325,0.25686172,47.703247,0.018504,False,True,True,True,False,False,197,4379
Stage 2,85 MHz high-frequency FWI reconstruction initialized from Stage 1,0.4,40.0,0.6,60.0,3373.2000000000003,8433.0,5059.799999999999,59.99999999999999,-5059.799999999999,5059.799999999999,5059.8,60.0,100.0,5892.8076,5758.84,1368.1359,-2540.1921,50.20341,2519.608,2867.0925,2519.608,1451.9423,1793.5887,235.22769,2607.4905,608.3573,0.8108252,0.23331141,67.29845,0.025809662,False,True,True,True,False,False,197,4379
