Category,Conclusion,Evidence
Global reconstruction,Stage 2 improved the global MAE.,Global MAE changed from 1568.91 m/s to 1497.91 m/s.
Void amplitude recovery,Stage 2 improved the recovered void amplitude.,Void recovery changed from 50.01% to 50.20%.
Void localization,Stage 2 improved void localization.,Detection efficiency changed from 0.796 to 0.811.
Stage 2 detection decision,Stage 2 did not pass the circular void detection criteria.,"Recovery OK: False, localization OK: True, false positive OK: True, background OK: False."
