FWI stage,Stage description,detection_threshold_fraction_of_true_update,detection_threshold_m_per_s,true_void_center_row,true_void_center_col,true_void_radius_cells,true_void_area_pixels,true_void_area_square_micrometers,detected_void_area_pixels,detected_void_area_square_micrometers,detected_center_row,detected_center_col,center_error_cells,center_error_micrometers,true_equivalent_radius_cells,detected_equivalent_radius_cells,radius_error_cells,radius_error_micrometers,intersection_pixels,union_pixels,IoU_intersection_over_union,precision_detected_pixels_inside_true_void,recall_true_void_pixels_detected,F1_score
Stage 1,20 MHz low-frequency FWI reconstruction,0.5,2529.8999999999996,72,90,8,197,4925.0,449,11225.000000000002,77.82405345211582,87.76614699331849,6.237763851618802,31.188819258094018,7.918778161951929,11.954962939989485,4.036184778037557,20.180923890187785,116,530,0.2188679245283019,0.2583518930957684,0.5888324873096447,0.3591331269349845
Stage 2,85 MHz high-frequency FWI reconstruction initialized from Stage 1,0.5,2529.8999999999996,72,90,8,197,4925.0,465,11625.000000000002,78.90752688172043,90.00430107526881,6.907528220784829,34.537641103924145,7.918778161951929,12.166104433032896,4.247326271080967,21.236631355404835,106,556,0.1906474820143885,0.22795698924731184,0.5380710659898477,0.3202416918429003
