sensor_index,x_position_um,distance_from_source_um,arrival_time_ns,expected_arrival_time_ns,arrival_advance_ns,arrival_advance_percent,max_possible_advance_ns,advance_excess_ns,advance_is_physically_suspicious,speed_ratio_vs_reference,arrival_behavior
0,0.0,205.00000000000006,21.34471599468668,24.309261235621968,2.964545240935287,12.19512683746696,2.2099328396020006,0.7546124013332864,False,1.1388889522668397,faster_than_expected
1,10.000000000000057,195.0,20.15889843942631,23.12344361437211,2.964545174945801,12.820517671957917,2.102131237670193,0.8624139372756083,False,1.1470588873620102,faster_than_expected
39,395.0000000000001,190.00000000000006,19.565989661796124,22.530534803747187,2.9645451419510636,13.15789956951227,2.0482304367042907,0.9163147052467728,False,1.1515152155957402,faster_than_expected
2,20.0,185.00000000000006,18.973080884165938,21.937625993122264,2.964545108956326,13.513518326393887,1.9943296357383922,0.9702154732179338,False,1.156250064344078,faster_than_expected
38,385.0,179.99999999999994,18.380172106535753,21.344717182497327,2.964545075961574,13.88889368087998,1.9404288347724865,1.0241162411890876,True,1.1612903872052112,faster_than_expected
3,30.000000000000057,175.0,17.787263328905567,20.751808371872404,2.9645450429668365,14.285719055622476,1.8865280338065844,1.0780170091602521,True,1.166666731590421,faster_than_expected
37,375.0,169.99999999999994,17.19435455127538,20.158899561247473,2.964545009972092,14.705887099467445,1.8326272328406858,1.131917777131406,True,1.1724138583470234,faster_than_expected
4,40.0,165.00000000000006,16.601445773645196,19.56599075062256,2.964544976977365,15.15151987324249,1.7787264318747802,1.1858185451025847,True,1.1785714941576704,faster_than_expected
36,365.0000000000001,160.00000000000006,16.00853699601501,18.97308193999763,2.96454494398262,15.625004695378395,1.7248256309088745,1.2397193130737456,True,1.1851852511394754,faster_than_expected
5,50.0,155.00000000000006,15.415628218384825,18.380173129372707,2.9645449109878825,16.129036925394068,1.6709248299429724,1.29362008104491,True,1.1923077586583426,faster_than_expected
35,355.0000000000001,150.00000000000006,14.82271944075464,17.78726431874778,2.9645448779931414,16.66667130407744,1.6170240289770774,1.347520849016064,True,1.200000066778719,faster_than_expected
6,60.0,145.00000000000006,14.229810663124454,17.194355508122857,2.9645448449984038,17.24138391577347,1.5631232280111718,1.401421616987232,True,1.2083334005757933,faster_than_expected
7,70.0,135.00000000000006,13.043993107864083,16.008537886873004,2.9645447790089214,18.51852305287572,1.455321626079364,1.5092231529295574,True,1.2272727955691445,faster_than_expected
33,335.0,129.99999999999994,12.688247841285971,15.415629076248063,2.727381234962092,17.692312272642567,1.4014208251134601,1.3259604098486317,True,1.2149533386388889,faster_than_expected
34,345.0,139.99999999999994,14.229810663124454,16.601446697497916,2.371636034373463,14.285719055622446,1.5092224270452679,0.8624136073281949,False,1.1666667315904202,faster_than_expected
9,90.0,115.00000000000006,12.806829596812008,13.636902644373302,0.8300730475612941,6.086961747899468,1.2397184222157573,-0.40964537465446327,False,1.0648148740706227,as_expected
8,80.00000000000006,125.0,14.34839241865049,14.822720265623147,0.4743278469726562,3.200005386816328,1.3475200241475616,-0.8731921771749054,False,1.0330579087282357,as_expected
31,315.0000000000001,110.00000000000006,12.925411352338045,13.043993833748376,0.11858248141033023,0.9090964233939222,1.1858176212498535,-1.0672351398395232,False,1.0091743680860787,as_expected
32,325.0000000000001,120.00000000000006,14.34839241865049,14.229811454998229,-0.11858096365226167,-0.8333277220662685,1.2936192231816595,-1.4122001868339211,False,0.9917355923791068,as_expected
11,110.0,95.00000000000006,12.925411352338045,11.265267401873595,-1.66014395046445,-14.73683572028074,1.0241152183521454,-2.6842591688165953,False,0.8715596815288862,slower_than_expected
10,100.00000000000006,105.0,14.466974174176528,12.451085023123444,-2.0158891510530843,-16.19046972460063,1.1319168202839514,-3.1478059713370357,False,0.8606557855994907,slower_than_expected
29,295.0,89.99999999999994,13.043993107864083,10.67235859124866,-2.3716345166154227,-22.222215420686524,0.9702144173862433,-3.341848934001666,False,0.818181863712762,slower_than_expected
30,305.0,99.99999999999994,14.466974174176528,11.85817621249851,-2.608797961678018,-21.999993210830745,1.0780160193180475,-3.6868139809960656,False,0.8196721767614192,slower_than_expected
13,130.0,75.00000000000006,13.043993107864083,8.893632159373894,-4.150360948490189,-46.66665850482365,0.8085120144885369,-4.958872962978726,False,0.681818219760636,slower_than_expected
12,120.00000000000006,85.0,14.466974174176528,10.079449780623738,-4.3875243935527894,-43.52940377744786,0.9163136164203411,-5.303838009973131,False,0.6967213502472068,slower_than_expected
28,285.0,79.99999999999994,14.34839241865049,9.486540969998806,-4.861851448651684,-51.249991583099614,0.8624128154544373,-5.724264264106122,False,0.6611570615860703,slower_than_expected
27,275.0000000000001,70.00000000000006,13.16257486339012,8.300723348748969,-4.861851514641151,-58.571419747098275,0.7546112135226357,-5.6164627281637864,False,0.6306306657245522,slower_than_expected
14,140.00000000000006,65.0,14.34839241865049,7.707814538124035,-6.640577880526456,-86.15383579458403,0.7007104125567309,-7.341288293083187,False,0.5371901125386824,slower_than_expected
15,150.0,55.00000000000006,13.16257486339012,6.521996916874191,-6.640577946515928,-101.81817058721595,0.5929088106249276,-7.233486757140856,False,0.4954955230692912,slower_than_expected
26,265.0,59.99999999999994,14.229810663124454,7.114905727499103,-7.114904935625351,-99.99998887021442,0.646809611590828,-7.761714547216179,False,0.5000000278244655,slower_than_expected
25,255.0,49.99999999999994,13.281156618916157,5.929088106249251,-7.352068512666905,-123.9999875346402,0.5390080096590228,-7.891076522325928,False,0.44642859627184417,slower_than_expected
16,160.00000000000006,45.0,14.34839241865049,5.3361792956243335,-9.012213123026157,-168.88887392551018,0.4851072086931216,-9.49732033171928,False,0.3719008471421648,slower_than_expected
17,170.0,35.00000000000006,13.281156618916157,4.150361674374489,-9.130794944541668,-219.99998219234212,0.3773056067613174,-9.508100551302984,False,0.3125000173902918,slower_than_expected
24,245.0,39.99999999999994,14.34839241865049,4.7432704849994005,-9.605121933651091,-202.49998316619943,0.43120640772721863,-10.03632834137831,False,0.33057853079303495,slower_than_expected
23,235.0,29.999999999999943,13.518320129968231,3.5574528637495484,-9.960867266218683,-279.9999788534077,0.32340480579541353,-10.284272072014097,False,0.26315790938129746,slower_than_expected
18,180.00000000000006,25.0,14.585555929702565,2.964544053124629,-11.621011876577935,-391.9999726207269,0.2695040048295123,-11.890515881407447,False,0.20325204383108375,slower_than_expected
19,190.0,15.000000000000057,13.399738374442194,1.7787264318747844,-11.62101194256741,-653.3332914111373,0.16170240289770788,-11.782714345465118,False,0.13274337021888527,slower_than_expected
22,225.00000000000006,20.0,14.34839241865049,2.371635242499703,-11.976757176150787,-504.9999663323981,0.21560320386360976,-12.192360380014398,False,0.16528926539651767,slower_than_expected
21,215.0,9.999999999999943,13.399738374442194,1.185817621249845,-12.21392075319235,-1029.9999371167166,0.10780160193180421,-12.321722355124153,False,0.0884955801459227,slower_than_expected
20,205.00000000000006,0.0,13.043993107864083,0.0,-13.043993107864083,,0.0,-13.043993107864083,False,,slower_than_expected
