arrival_type,sensor_index,x_position_um,distance_from_source_um,arrival_time_us,arrival_time_ns,arrival_sample_index,expected_arrival_time_us,expected_arrival_time_ns,arrival_residual_us,arrival_residual_ns,arrival_residual_percent,arrival_advance_ns,arrival_advance_percent,search_start_time_us,search_start_time_ns,search_start_index,reference_speed_m_s,apparent_speed_m_s,speed_ratio_vs_reference,arrival_behavior,max_speed_increase_fraction,max_possible_speed_m_s,max_possible_advance_ns,advance_excess_ns,advance_is_physically_suspicious,threshold_fraction_of_sensor_peak,timing_tolerance_ns,sensor_peak_envelope,sensor_peak_normalized_to_global_max
direct_first_arrival,0,0.0,205.00000000000006,0.02134471599468668,21.34471599468668,180.0,0.02430926123562197,24.309261235621968,-0.002964545240935288,-2.964545240935288,-12.195126837466963,2.964545240935287,12.19512683746696,0.02130926123562197,21.30926123562197,180.0,8433.0,9604.250534466259,1.1388889522668397,faster_than_expected,0.1,9276.300000000001,2.2099328396020006,0.7546124013332864,False,0.4,1.0,0.28842923045158386,0.058737099170684814
direct_first_arrival,1,10.000000000000057,195.0,0.02015889843942631,20.15889843942631,170.0,0.02312344361437211,23.12344361437211,-0.0029645451749458,-2.9645451749458,-12.820517671957912,2.964545174945801,12.820517671957917,0.02012344361437211,20.12344361437211,170.0,8433.0,9673.147597123832,1.1470588873620102,faster_than_expected,0.1,9276.300000000001,2.102131237670193,0.8624139372756083,False,0.4,1.0,0.30639731884002686,0.062396205961704254
direct_first_arrival,2,20.0,185.00000000000006,0.018973080884165938,18.973080884165938,160.0,0.021937625993122264,21.937625993122264,-0.0029645451089563256,-2.9645451089563255,-13.513518326393884,2.964545108956326,13.513518326393887,0.018937625993122265,18.937625993122264,160.0,8433.0,9750.65679261361,1.156250064344078,faster_than_expected,0.1,9276.300000000001,1.9943296357383922,0.9702154732179338,False,0.4,1.0,0.30130788683891296,0.061359770596027374
direct_first_arrival,3,30.000000000000057,175.0,0.017787263328905567,17.787263328905567,150.0,0.020751808371872404,20.751808371872404,-0.0029645450429668374,-2.9645450429668374,-14.285719055622483,2.9645450429668365,14.285719055622476,0.017751808371872405,17.751808371872404,150.0,8433.0,9838.500547502019,1.166666731590421,faster_than_expected,0.1,9276.300000000001,1.8865280338065844,1.0780170091602521,True,0.4,1.0,0.3208329677581787,0.0653359517455101
direct_first_arrival,4,40.0,165.00000000000006,0.016601445773645196,16.601445773645196,140.0,0.01956599075062256,19.56599075062256,-0.002964544976977363,-2.964544976977363,-15.151519873242481,2.964544976977365,15.15151987324249,0.01656599075062256,16.56599075062256,140.0,8433.0,9938.893410231634,1.1785714941576704,faster_than_expected,0.1,9276.300000000001,1.7787264318747802,1.1858185451025847,True,0.4,1.0,0.3253951668739319,0.06626501679420471
direct_first_arrival,5,50.0,155.00000000000006,0.015415628218384825,15.415628218384825,130.0,0.018380173129372707,18.380173129372707,-0.002964544910987882,-2.9645449109878816,-16.12903692539406,2.9645449109878825,16.129036925394068,0.015380173129372707,15.380173129372707,130.0,8433.0,10054.731328765803,1.1923077586583426,faster_than_expected,0.1,9276.300000000001,1.6709248299429724,1.29362008104491,True,0.4,1.0,0.34908327460289,0.07108897715806961
direct_first_arrival,6,60.0,145.00000000000006,0.014229810663124454,14.229810663124454,120.0,0.017194355508122858,17.194355508122857,-0.002964544844998404,-2.964544844998404,-17.241383915773472,2.9645448449984038,17.24138391577347,0.014194355508122859,14.19435550812286,120.0,8433.0,10189.875567055666,1.2083334005757933,faster_than_expected,0.1,9276.300000000001,1.5631232280111718,1.401421616987232,True,0.4,1.0,0.3627367615699768,0.07386943697929382
direct_first_arrival,7,70.0,135.00000000000006,0.013043993107864083,13.043993107864083,110.0,0.016008537886873005,16.008537886873004,-0.002964544779008923,-2.9645447790089228,-18.518523052875732,2.9645447790089214,18.51852305287572,0.013008537886873006,13.008537886873006,110.0,8433.0,10349.591485034596,1.2272727955691445,faster_than_expected,0.1,9276.300000000001,1.455321626079364,1.5092231529295574,True,0.4,1.0,0.395009845495224,0.0804416835308075
direct_first_arrival,8,80.00000000000006,125.0,0.01434839241865049,14.34839241865049,121.0,0.014822720265623148,14.822720265623147,-0.000474327846972657,-0.474327846972657,-3.2000053868163336,0.4743278469726562,3.200005386816328,0.011822720265623147,11.822720265623147,100.0,8433.0,8711.777344305212,1.0330579087282357,as_expected,0.1,9276.300000000001,1.3475200241475616,-0.8731921771749054,False,0.4,1.0,0.4146192669868469,0.08443503826856613
direct_first_arrival,9,90.0,115.00000000000006,0.012806829596812008,12.806829596812008,108.0,0.013636902644373302,13.636902644373302,-0.0008300730475612941,-0.8300730475612941,-6.086961747899468,0.8300730475612941,6.086961747899468,0.010636902644373301,10.6369026443733,90.0,8433.0,8979.58383303756,1.0648148740706227,as_expected,0.1,9276.300000000001,1.2397184222157573,-0.40964537465446327,False,0.4,1.0,0.4637701213359833,0.09444434940814972
