FWI stage,Stage description,detection_threshold_fraction_of_true_update,detection_threshold_m_per_s,true_void_center_row,true_void_center_col,true_void_radius_cells,true_void_area_pixels,true_void_area_square_micrometers,detected_void_area_pixels,detected_void_area_square_micrometers,detected_center_row,detected_center_col,center_error_cells,center_error_micrometers,true_equivalent_radius_cells,detected_equivalent_radius_cells,radius_error_cells,radius_error_micrometers,intersection_pixels,union_pixels,IoU_intersection_over_union,precision_detected_pixels_inside_true_void,recall_true_void_pixels_detected,F1_score
Stage 1,20 MHz low-frequency FWI reconstruction,0.5,2108.25,72,90,8,197,4925.0,60,1500.0000000000002,70.58333333333333,102.1,12.182649319603856,60.913246598019285,7.918778161951929,4.370193722368317,-3.548584439583612,-17.742922197918062,0,257,0.0,0.0,0.0,
Stage 2,85 MHz high-frequency FWI reconstruction initialized from Stage 1,0.5,2108.25,72,90,8,197,4925.0,68,1700.0000000000002,73.1029411764706,98.47058823529412,8.542092500708327,42.71046250354164,7.918778161951929,4.652426491681278,-3.2663516702706508,-16.331758351353255,3,262,0.011450381679389313,0.04411764705882353,0.015228426395939087,0.022641509433962266
