FWI stage,Stage description,void_speed_fraction,true_void_speed_m_per_s,true_void_update_relative_to_silicon_m_per_s,required_update_m_per_s,max_velocity_update_m_per_s,max_update_percent_of_silicon,theoretical_max_recovery_percent_due_to_range,reconstructed_mean_void_speed_m_per_s,reconstructed_median_void_speed_m_per_s,reconstructed_std_void_speed_m_per_s,reconstructed_mean_void_update_m_per_s,void_velocity_update_recovery_percent,void_MAE_m_per_s,void_RMSE_m_per_s,void_Bias_m_per_s,background_MAE_m_per_s,background_RMSE_m_per_s,background_Bias_m_per_s,void_expected_negative_energy_m_per_s,background_false_negative_energy_m_per_s,void_detection_efficiency_0_to_1,false_positive_ratio_background_to_void,wrong_sign_positive_energy_inside_void_m_per_s,wrong_sign_ratio_inside_void,recovery_ok,localization_ok,false_positive_ok,background_ok,successful_detection,number_of_void_pixels,number_of_background_pixels
Stage 1,20 MHz low-frequency FWI reconstruction,0.5,4216.5,-4216.5,4216.5,5000.0,59.29088106249259,100.0,9328.703,9262.971,1310.914,895.7029,-21.242805,5112.203,5277.605,5112.203,797.80554,1048.6074,296.58353,201.35892,250.61104,0.44551393,1.2445986,1097.0618,5.44829,False,False,False,True,False,197,4379
Stage 2,85 MHz high-frequency FWI reconstruction initialized from Stage 1,0.5,4216.5,-4216.5,4216.5,5000.0,59.29088106249259,100.0,9524.028,9490.402,1444.5023,1091.028,-25.875204,5307.528,5500.5854,5307.528,926.38855,1218.6465,375.39706,206.07523,275.4958,0.42792282,1.33687,1297.1031,6.2943187,False,False,False,True,False,197,4379
