FWI stage,Stage description,detection_threshold_fraction_of_true_update,detection_threshold_m_per_s,true_void_center_row,true_void_center_col,true_void_radius_cells,true_void_area_pixels,true_void_area_square_micrometers,detected_void_area_pixels,detected_void_area_square_micrometers,detected_center_row,detected_center_col,center_error_cells,center_error_micrometers,true_equivalent_radius_cells,detected_equivalent_radius_cells,radius_error_cells,radius_error_micrometers,intersection_pixels,union_pixels,IoU_intersection_over_union,precision_detected_pixels_inside_true_void,recall_true_void_pixels_detected,F1_score
Stage 1,20 MHz low-frequency FWI reconstruction,0.5,2108.25,72,90,8,197,4925.0,28,700.0000000000001,74.92857142857143,103.64285714285714,13.953640443721236,69.76820221860619,7.918778161951929,2.985410660720923,-4.933367501231006,-24.66683750615503,0,225,0.0,0.0,0.0,
Stage 2,85 MHz high-frequency FWI reconstruction initialized from Stage 1,0.5,2108.25,72,90,8,197,4925.0,54,1350.0,72.75925925925925,98.07407407407408,8.109694616716837,40.548473083584184,7.918778161951929,4.145929793656026,-3.772848368295903,-18.864241841479515,1,250,0.004,0.018518518518518517,0.005076142131979695,0.00796812749003984
