FWI stage,Stage description,void_speed_fraction,void_speed_percent_of_silicon,void_contrast_fraction_relative_to_silicon,void_contrast_percent_relative_to_silicon,true_void_speed_m_per_s,silicon_background_speed_m_per_s,speed_difference_from_silicon_m_per_s,speed_difference_percent_of_silicon,true_void_update_relative_to_silicon_m_per_s,required_update_m_per_s,max_velocity_update_m_per_s,max_update_percent_of_silicon,theoretical_max_recovery_percent_due_to_range,reconstructed_mean_void_speed_m_per_s,reconstructed_median_void_speed_m_per_s,reconstructed_std_void_speed_m_per_s,reconstructed_mean_void_update_m_per_s,void_velocity_update_recovery_percent,void_MAE_m_per_s,void_RMSE_m_per_s,void_Bias_m_per_s,background_MAE_m_per_s,background_RMSE_m_per_s,background_Bias_m_per_s,void_expected_negative_energy_m_per_s,background_false_negative_energy_m_per_s,void_detection_efficiency_0_to_1,false_positive_ratio_background_to_void,wrong_sign_positive_energy_inside_void_m_per_s,wrong_sign_ratio_inside_void,recovery_ok,localization_ok,false_positive_ok,wrong_sign_ok,background_ok,successful_detection,number_of_void_pixels,number_of_background_pixels
Stage 1,20 MHz low-frequency FWI reconstruction,0.5,50.0,0.5,50.0,4216.5,8433.0,4216.5,50.0,-4216.5,4216.5,4216.5,50.0,100.0,5104.06,4855.264,571.178,-3328.94,78.95032,887.5598,1055.4652,887.5598,884.3993,1149.8192,47.60051,3328.94,418.39938,0.8883476,0.12568547,0.0,0.0,True,True,True,True,True,True,197,4379
Stage 2,85 MHz high-frequency FWI reconstruction initialized from Stage 1,0.5,50.0,0.5,50.0,4216.5,8433.0,4216.5,50.0,-4216.5,4216.5,4216.5,50.0,100.0,5016.034,4784.704,723.4271,-3416.9658,81.03797,799.53436,1078.2402,799.53436,710.0926,972.9939,-13.810174,3419.3662,361.9514,0.90427905,0.10585336,2.400455,0.0007020175,True,True,True,True,True,True,197,4379
