Category,Conclusion,Evidence
Global reconstruction,Stage 2 improved the global MAE.,Global MAE changed from 1714.20 m/s to 1566.15 m/s.
Void amplitude recovery,Stage 2 did not improve the recovered void amplitude.,Void recovery changed from -1.29% to -10.16%.
Void localization,Stage 2 improved void localization.,Detection efficiency changed from 0.605 to 0.627.
Stage 2 detection decision,Stage 2 did not pass the circular void detection criteria.,"Recovery OK: False, localization OK: True, false positive OK: False, background OK: True."
