Category,Conclusion,Evidence
Global reconstruction,Stage 2 improved the global MAE.,Global MAE changed from 2192.83 m/s to 2083.19 m/s.
Void amplitude recovery,Stage 2 did not improve the recovered void amplitude.,Void recovery changed from -29.72% to -36.65%.
Void localization,Stage 2 improved void localization.,Detection efficiency changed from 0.544 to 0.586.
Stage 2 detection decision,Stage 2 did not pass the circular void detection criteria.,"Recovery OK: False, localization OK: False, false positive OK: False, background OK: True."
