FWI stage,Stage description,void_speed_fraction,void_speed_percent_of_silicon,void_contrast_fraction_relative_to_silicon,void_contrast_percent_relative_to_silicon,true_void_speed_m_per_s,silicon_background_speed_m_per_s,speed_difference_from_silicon_m_per_s,speed_difference_percent_of_silicon,true_void_update_relative_to_silicon_m_per_s,required_update_m_per_s,max_velocity_update_m_per_s,max_update_percent_of_silicon,theoretical_max_recovery_percent_due_to_range,reconstructed_mean_void_speed_m_per_s,reconstructed_median_void_speed_m_per_s,reconstructed_std_void_speed_m_per_s,reconstructed_mean_void_update_m_per_s,void_velocity_update_recovery_percent,void_MAE_m_per_s,void_RMSE_m_per_s,void_Bias_m_per_s,background_MAE_m_per_s,background_RMSE_m_per_s,background_Bias_m_per_s,void_expected_negative_energy_m_per_s,background_false_negative_energy_m_per_s,void_detection_efficiency_0_to_1,false_positive_ratio_background_to_void,wrong_sign_positive_energy_inside_void_m_per_s,wrong_sign_ratio_inside_void,recovery_ok,localization_ok,false_positive_ok,wrong_sign_ok,background_ok,successful_detection,number_of_void_pixels,number_of_background_pixels
Stage 1,20 MHz low-frequency FWI reconstruction,0.1,10.0,0.9,90.0,843.3000000000001,8433.0,7589.7,90.0,-7589.7,7589.7,7589.7,90.0,100.0,10688.908,11116.511,3028.0012,2255.9082,-29.723284,9845.607,10300.718,9845.607,1848.5469,2275.526,906.9777,560.9592,470.78467,0.5437001,0.8392494,2816.8674,5.021519,False,False,False,False,True,False,197,4379
Stage 2,85 MHz high-frequency FWI reconstruction initialized from Stage 1,0.1,10.0,0.9,90.0,843.3000000000001,8433.0,7589.7,90.0,-7589.7,7589.7,7589.7,90.0,100.0,11214.865,12562.328,3418.6912,2781.8655,-36.653168,10371.566,10920.478,10371.566,1710.3136,2128.1401,861.0207,600.6235,424.64642,0.58581984,0.7070094,3382.489,5.63163,False,False,False,False,True,False,197,4379
